Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,age,KM_Driven,make,mileage,engine,power
Kolkata,Petrol,Manual,First,5,2.49,5,40,maruti,20.51,998,67.04
Jaipur,Petrol,Manual,First,5,3.15,3,4,renault,25.17,799,53.3
Ahmedabad,Diesel,Manual,First,5,4.25,6,55,volkswagen,22.07,1199,73.9
Hyderabad,Petrol,Manual,First,5,2.75,5,58,maruti,22.74,796,47.3
Kochi,Petrol,Manual,First,5,7.14,2,58,hyundai,18.6,1197,81.83
Jaipur,Petrol,Manual,Third,5,3.5,7,71,hyundai,17,1197,80
Chennai,Diesel,Manual,First,5,7.3,2,12,hyundai,22.54,1396,88.73
Kolkata,Petrol,Manual,First,5,2.75,5,25,maruti,20.51,998,67.04
Bangalore,Diesel,Manual,Second,5,8.2,2,43,hyundai,22.54,1396,88.73
Pune,Diesel,Manual,First,5,4.25,4,92,ford,20,1399,68.05
Coimbatore,Petrol,Manual,Second,5,6.21,5,33,maruti,18.6,1197,85.8
Kochi,Diesel,Manual,First,5,4.58,3,52,hyundai,24,1120,70
Coimbatore,Petrol,Manual,First,5,4.09,5,60,hyundai,19.81,1086,68.05
Hyderabad,Petrol,Automatic,First,5,4.4,5,33,maruti,23.1,998,67.04
Mumbai,Diesel,Manual,First,7,7.25,5,64,maruti,20.77,1248,88.8
Hyderabad,Diesel,Manual,First,5,3.2,6,51,ford,20,1399,68.05
Mumbai,Petrol,Manual,First,5,3.95,5,57,volkswagen,16.47,1198,74
Kolkata,Petrol,Manual,First,5,1.75,6,31,hyundai,17.92,1086,62.1
Chennai,Diesel,Manual,First,7,6.9,5,23,honda,24.5,1498,98.6
Coimbatore,Petrol,Manual,First,5,7.77,1,15,hyundai,18.6,1197,81.83
Hyderabad,Petrol,Manual,First,5,5.35,5,70,hyundai,18.6,1197,81.83
Chennai,Diesel,Manual,Second,7,4.5,8,99,mahindra,13.6,2523,63
Mumbai,Petrol,Manual,First,5,0.7,14,102,maruti,17.3,993,60
Coimbatore,Petrol,Automatic,First,5,5.57,4,61,hyundai,18.9,1197,82
Jaipur,Diesel,Manual,First,5,5.9,1,25,hyundai,25.4,1186,73.97
Bangalore,Petrol,Manual,First,5,2.9,9,69,hyundai,20.36,1197,78.9
Delhi,Petrol,Manual,First,5,3.68,3,32,honda,19.4,1198,86.8
Jaipur,Diesel,Manual,First,5,6.75,5,71,honda,25.1,1498,98.6
Kochi,Diesel,Manual,First,5,6.96,4,80,honda,25.1,1498,98.6
Jaipur,Petrol,Manual,First,5,3.25,2,63,renault,21.7,999,67
Hyderabad,Diesel,Manual,First,5,8.65,1,5,maruti,28.4,1248,74
Pune,Petrol,Automatic,First,5,5,2,7,maruti,23.1,998,67.04
Jaipur,Petrol,Manual,Second,5,2.6,9,66,hyundai,20.36,1197,78.9
Kochi,Petrol,Manual,First,5,3.41,5,58,hyundai,19.81,1086,68.05
Kolkata,Petrol,Manual,First,5,2.7,8,46,maruti,22,1197,81.8
Mumbai,Diesel,Manual,First,5,4.25,6,47,nissan,21.64,1461,84.8
Ahmedabad,Petrol,Manual,First,5,3.2,4,51,maruti,18.9,998,67.1
Bangalore,Diesel,Manual,Second,5,6.85,5,25,maruti,23.4,1248,74
Delhi,Diesel,Manual,First,5,4.5,4,48,honda,25.8,1498,98.6
Delhi,Diesel,Manual,First,5,3.55,7,52,maruti,28.4,1248,74
Bangalore,Petrol,Manual,First,5,2.66,3,20,datsun,22.7,799,53.64
Coimbatore,Diesel,Manual,First,5,8.07,3,60,honda,26,1498,98.6
Coimbatore,Diesel,Manual,First,7,7.5,3,85,maruti,20.77,1248,88.76
Mumbai,Diesel,Manual,Second,5,2.85,11,91,maruti,19.3,1248,73.9
Hyderabad,Diesel,Manual,First,5,3.3,9,79,maruti,21.1,1248,73.9
Bangalore,Petrol,Manual,First,5,5,6,38,maruti,19.1,1197,85.8
Coimbatore,Diesel,Manual,First,5,6.46,5,59,maruti,22.9,1248,74
Jaipur,Petrol,Manual,First,5,3.75,2,23,hyundai,21.1,814,55.2
Kochi,Petrol,Manual,Third,5,1.52,16,61,maruti,17.3,993,60
Coimbatore,Petrol,Manual,First,7,3.61,7,56,maruti,15.1,1196,73
Hyderabad,Diesel,Manual,First,5,3.65,9,130,maruti,19.3,1248,73.9
Mumbai,Diesel,Manual,First,10,5.25,6,20,tata,14.07,1978,83.1
Delhi,Diesel,Manual,First,5,2.5,4,150,tata,25,1396,69.01
Bangalore,Petrol,Manual,First,5,4.15,4,74,maruti,23.1,998,67.04
Pune,Petrol,Manual,First,5,2.29,8,47,skoda,17.5,1198,75
Chennai,Diesel,Manual,First,5,7,4,80,ford,22.77,1498,98.59
Bangalore,Petrol,Manual,Second,5,1.65,12,60,maruti,18.2,1061,64
Ahmedabad,Petrol,Manual,First,5,8.25,2,6,maruti,20.73,1373,91.1
Hyderabad,Petrol,Manual,First,5,6.5,3,33,honda,17.8,1198,86.7
Jaipur,Diesel,Manual,First,5,5.75,4,91,renault,19.87,1461,83.8
Kolkata,Petrol,Manual,Second,5,2.1,8,43,volkswagen,16.47,1198,73.9
Kolkata,Diesel,Manual,First,5,6.5,3,29,maruti,27.39,1248,74
Ahmedabad,Diesel,Manual,First,5,7.5,3,56,maruti,28.09,1248,88.5
Pune,Petrol,Manual,First,5,5.48,2,14,volkswagen,17,1198,73.75
Hyderabad,Petrol,Manual,First,5,4.2,6,35,maruti,18.5,1197,85.8
Jaipur,Diesel,Manual,First,5,4.8,5,96,maruti,23.4,1248,74
Kochi,Diesel,Manual,First,6,5.83,2,39,mahindra,25.32,1198,77
Pune,Petrol,Manual,First,5,5.85,3,14,maruti,21.4,1197,83.1
Mumbai,Diesel,Manual,First,5,6.21,3,38,honda,27.3,1498,98.6
Delhi,Petrol,Manual,First,5,3.65,6,71,hyundai,17,1197,80
Delhi,Diesel,Manual,First,5,3.7,7,71,hyundai,23,1396,90
Kochi,Petrol,Manual,First,5,4.85,3,48,hyundai,19.1,1197,82
Coimbatore,Petrol,Automatic,First,5,6.93,2,19,hyundai,18.9,1197,82
Kolkata,Petrol,Manual,First,5,2.6,3,26,maruti,22.74,796,47.3
Kolkata,Petrol,Manual,First,5,1.89,5,37,chevrolet,18.2,1199,82.5
Jaipur,Petrol,Manual,Second,5,1.8,11,84,hyundai,19.81,1086,68.05
Kolkata,Petrol,Manual,Second,5,1.4,11,47,maruti,17.5,1298,85.8
Hyderabad,Diesel,Manual,First,5,3.6,7,96,maruti,21.1,1248,73.9
Jaipur,Petrol,Manual,Second,5,1.2,15,47,hyundai,14.4,1599,94
Coimbatore,Petrol,Manual,Second,5,4.94,5,28,honda,17.8,1198,86.7
Delhi,Petrol,Manual,Second,5,1.25,12,65,maruti,18.9,998,67.1
Chennai,Diesel,Manual,Second,5,4.8,6,68,volkswagen,22.07,1199,73.9
Pune,Petrol,Manual,Second,5,3.3,8,41,hyundai,17,1197,80
Bangalore,Diesel,Manual,First,5,2.4,7,65,chevrolet,25.44,936,57.6
Pune,Petrol,Manual,First,5,3.1,5,51,maruti,20.51,998,67.04
Pune,Petrol,Manual,Second,5,1.05,13,146,maruti,15.4,1590,94
Bangalore,Diesel,Manual,Second,5,7,4,47,ford,22.77,1498,98.59
Ahmedabad,Petrol,Manual,Second,5,2.5,9,58,hyundai,13.2,1495,94
Chennai,Petrol,Manual,First,5,2.1,8,91,maruti,20.92,998,67.1
Kolkata,Diesel,Manual,First,5,5.85,3,27,honda,27.3,1498,98.6
Delhi,Diesel,Manual,First,5,8.9,2,26,maruti,28.09,1248,88.5
Mumbai,Petrol,Manual,First,5,5.15,3,9,maruti,20.4,1197,81.8
Chennai,Petrol,Manual,Second,5,1.65,9,134,maruti,18.9,1061,67
Coimbatore,Diesel,Automatic,First,5,8.08,2,24,maruti,26.59,1248,74
Pune,Petrol,Automatic,First,5,4.5,5,37,hyundai,18.9,1197,82
Chennai,Petrol,Manual,Second,5,4.3,6,55,nissan,16.95,1498,97.7
Hyderabad,Petrol,Manual,First,5,2.6,9,81,maruti,19,998,66.1
Hyderabad,Petrol,Manual,First,5,4.45,1,1,renault,25.17,799,53.3
Chennai,Petrol,Manual,Second,5,1.75,11,55,maruti,18.9,1061,67
Jaipur,Diesel,Manual,First,5,2.8,3,65,tata,25,1396,69.01
Hyderabad,Diesel,Manual,First,5,6.2,4,26,hyundai,22.54,1396,88.73
Kochi,Petrol,Manual,First,8,3.8,0,11,maruti,16.8,796,34.2
Hyderabad,Diesel,Manual,First,5,6.1,5,81,maruti,25.2,1248,74
Coimbatore,Diesel,Manual,First,5,11.65,0,23,ford,23,1498,98.96
Mumbai,Petrol,Automatic,First,5,4.15,5,26,honda,16.5,1198,86.8
Kolkata,Petrol,Manual,First,5,2.25,9,18,hyundai,18.5,1197,80
Kochi,Diesel,Manual,First,5,8.51,0,18,maruti,26.59,1248,74
Pune,Petrol,Manual,First,5,1.85,9,75,tata,13.7,1368,88.8
Kolkata,Diesel,Manual,Second,5,2.5,7,82,maruti,22.9,1248,74
Chennai,Diesel,Manual,First,5,4.75,6,60,volkswagen,22.07,1199,73.9
Bangalore,Diesel,Manual,First,5,5.5,5,67,hyundai,23,1396,90
Kochi,Diesel,Manual,First,5,2.47,5,52,chevrolet,25.44,936,57.6
Kochi,Petrol,Manual,First,5,3.3,5,36,chevrolet,16.2,995,62.1
Coimbatore,Diesel,Manual,First,5,6.99,3,14,hyundai,24.4,1120,71
Pune,Petrol,Manual,Second,5,2.3,9,85,nissan,18.06,1198,75
Coimbatore,Petrol,Manual,First,5,4.57,6,61,maruti,18.6,1197,85.8
Chennai,Diesel,Manual,First,5,3.5,3,80,hyundai,24.4,1120,71
Coimbatore,Petrol,Manual,First,5,5.88,3,44,hyundai,18.9,1197,82
Kolkata,Petrol,Manual,First,5,4.6,4,35,hyundai,18.5,1197,80
Kolkata,Diesel,Manual,First,5,4.9,6,44,ford,22.77,1498,98.59
Kolkata,Diesel,Manual,First,5,3.8,5,35,volkswagen,22.07,1199,73.9
Hyderabad,Diesel,Manual,First,5,7.2,6,69,ford,22.7,1498,89.84
Hyderabad,Petrol,Manual,First,5,4.5,2,23,tata,14.4,1396,65
Delhi,Diesel,Manual,First,5,4.15,5,68,maruti,26.59,1248,74
Coimbatore,Diesel,Manual,First,5,7.94,3,74,maruti,25.1,1248,88.5
Delhi,Petrol,Manual,First,5,3.7,3,22,maruti,18.9,998,67.1
Chennai,Diesel,Manual,Third,5,1.5,8,109,chevrolet,25.44,936,57.6
Delhi,Petrol,Manual,Second,5,2.2,7,51,hyundai,19.81,1086,68.05
Kolkata,Petrol,Manual,First,5,1.92,10,43,hyundai,20.36,1197,78.9
Kolkata,Petrol,Manual,First,5,3.2,6,29,hyundai,18.9,1197,82
Kolkata,Diesel,Manual,First,5,3.85,5,45,maruti,23.4,1248,74
Kochi,Diesel,Manual,First,5,3.48,9,93,hyundai,23,1396,90
Hyderabad,Diesel,Manual,Second,5,4.55,2,95,ford,25.83,1498,99
Pune,Diesel,Manual,First,7,7,3,130,maruti,25.47,1248,88.5
Ahmedabad,Diesel,Manual,First,7,5.75,6,67,maruti,20.77,1248,88.8
Hyderabad,Petrol,Manual,First,5,1.7,10,35,maruti,19.7,796,46.3
Kochi,Diesel,Manual,First,5,10.49,0,34,maruti,24.3,1248,88.5
Pune,Diesel,Manual,First,5,7.55,3,58,maruti,22.9,1248,74
Mumbai,Petrol,Manual,First,5,3.95,5,40,tata,17.57,1193,88.7
Bangalore,Petrol,Manual,Fourth & Above,5,3.25,9,61,hyundai,17,1197,80
Mumbai,Diesel,Manual,First,5,2.75,10,86,skoda,19.4,1422,70
Kolkata,Diesel,Manual,First,5,7.35,4,45,toyota,21.43,1364,87.2
Ahmedabad,Petrol,Manual,First,5,4.7,2,55,volkswagen,17,1198,73.75
Kochi,Petrol,Manual,First,5,3.42,6,46,hyundai,20.36,1197,78.9
Kolkata,Petrol,Manual,First,5,2.5,4,120,chevrolet,18.6,1199,76.8
Mumbai,Petrol,Automatic,First,5,3.45,8,64,hyundai,16.95,1197,78.9
Pune,Petrol,Automatic,First,5,3.3,4,73,maruti,24.07,998,67.1
Kolkata,Diesel,Manual,First,5,6.5,2,35,maruti,24.3,1248,88.5
Hyderabad,Petrol,Manual,First,5,3.65,6,17,hyundai,21.1,814,55.2
Kolkata,Petrol,Manual,First,5,2.8,4,14,maruti,18.9,998,67.1
Chennai,Petrol,Manual,First,5,4,7,50,hyundai,17,1197,80
Coimbatore,Petrol,Manual,Second,5,2.69,11,53,maruti,18.9,998,67.1
Kolkata,Petrol,Manual,First,5,2.75,5,48,honda,18,1198,86.7
Mumbai,Petrol,Manual,First,5,2.8,3,24,maruti,24.7,796,47.3
Coimbatore,Petrol,Manual,First,5,5.88,1,9,tata,23.84,1199,84
Pune,Petrol,Manual,First,5,4.65,6,32,maruti,18.6,1197,85.8
Jaipur,Petrol,Manual,First,5,2.5,5,18,hyundai,21.1,814,55.2
Hyderabad,Diesel,Manual,First,5,6.85,3,33,hyundai,22.54,1396,88.73
Chennai,Diesel,Manual,First,5,5.25,7,48,toyota,23.59,1364,67.05
Coimbatore,Diesel,Manual,First,5,9.23,5,72,toyota,21.43,1364,87.2
Hyderabad,Diesel,Manual,First,5,5.19,5,69,volkswagen,20.14,1498,88.8
Pune,Diesel,Manual,First,5,5.75,4,79,maruti,17.8,1248,75
Bangalore,Petrol,Automatic,First,5,2.99,10,60,hyundai,19.2,1197,80
Kolkata,Diesel,Manual,First,5,3.89,5,57,maruti,26.59,1248,74
Coimbatore,Diesel,Manual,First,5,11.73,1,45,honda,26,1498,98.6
Coimbatore,Petrol,Manual,First,5,3.11,3,55,maruti,14,796,35
Ahmedabad,Diesel,Manual,First,7,8.7,1,38,maruti,24.52,1248,88.5
Kochi,Diesel,Manual,First,5,5.04,3,57,hyundai,24,1120,70
Jaipur,Diesel,Manual,First,5,8.5,2,38,maruti,28.09,1248,88.5
Mumbai,Diesel,Manual,First,5,5.65,4,32,fiat,20.5,1248,91.72
Delhi,Petrol,Manual,First,5,5,2,8,hyundai,18.9,1197,81.86
Chennai,Diesel,Manual,First,5,1.75,8,120,tata,18,1248,75
Mumbai,Diesel,Manual,First,7,3.5,3,40,mahindra,15.96,2523,62.1
Coimbatore,Diesel,Manual,First,5,10.46,1,64,maruti,24.3,1248,88.5
Pune,Diesel,Manual,First,5,4.85,5,52,fiat,20.5,1248,91.72
Kochi,Petrol,Manual,First,5,5.68,3,51,honda,19.5,1199,88.76
Chennai,Petrol,Manual,First,5,3,6,79,maruti,18.9,998,67.1
Delhi,Petrol,Manual,First,5,4.75,3,42,maruti,16.1,1197,85
Bangalore,Petrol,Manual,First,5,5.35,5,62,volkswagen,16.47,1198,74
Hyderabad,Petrol,Manual,First,5,5.98,2,20,hyundai,18.9,1197,81.86
Chennai,Diesel,Manual,Third,5,3.5,8,80,maruti,21.5,1248,88.8
Kochi,Petrol,Manual,First,5,4.77,1,50,hyundai,18.9,1197,81.86
Delhi,Petrol,Manual,First,5,5.45,3,50,maruti,21.4,1197,83.1
Ahmedabad,Petrol,Automatic,First,5,6.85,1,1,tata,20.3,1199,84
Jaipur,Diesel,Automatic,First,5,7.3,3,54,maruti,26.59,1248,74
Pune,Petrol,Manual,First,5,1.25,12,108,tata,15.3,1193,65.3
Ahmedabad,Petrol,Manual,First,5,2.71,11,65,maruti,16.1,1298,88.2
Kolkata,Petrol,Manual,First,5,3.6,3,32,hyundai,19.1,1197,82
Ahmedabad,Petrol,Manual,First,5,3,9,65,hyundai,18.5,1197,80
Hyderabad,Petrol,Automatic,First,5,4.65,3,21,maruti,23.1,998,67.04
Mumbai,Petrol,Manual,First,5,2.95,8,58,maruti,17.5,1298,85.8
Hyderabad,Diesel,Manual,First,5,5.95,4,58,maruti,25.2,1248,74
Pune,Diesel,Manual,Second,5,2.25,9,172,fiat,19,1248,93
Jaipur,Petrol,Manual,First,5,3.1,6,46,hyundai,19.81,1086,68.05
Jaipur,Petrol,Manual,First,5,6.5,1,5,hyundai,18.6,1197,81.83
Ahmedabad,Diesel,Manual,First,5,5.7,5,66,honda,26,1498,98.6
Ahmedabad,Diesel,Manual,First,8,8,6,119,toyota,12.99,2494,100
Chennai,Petrol,Manual,First,5,2.6,3,45,renault,25.17,799,53.3
Hyderabad,Petrol,Manual,First,5,2.45,10,66,maruti,19,998,66.1
Kolkata,Petrol,Manual,First,5,2.3,7,35,maruti,18.9,998,67.1
Jaipur,Diesel,Manual,First,5,5.9,3,41,maruti,25.2,1248,74
Kolkata,Petrol,Manual,First,5,1.95,9,27,hyundai,16,1086,66.7
Coimbatore,Diesel,Manual,First,5,6.55,3,53,toyota,23.59,1364,67.04
Kolkata,Diesel,Manual,First,5,2.65,7,36,ford,20,1399,68.05
Pune,Petrol,Manual,Second,5,2.1,5,32,maruti,22.74,796,47.3
Hyderabad,Petrol,Manual,First,5,5.68,0,1,volkswagen,18.78,999,75
Kolkata,Petrol,Manual,First,5,1.55,6,56,maruti,22.74,796,47.3
Mumbai,Diesel,Manual,First,7,7.75,3,54,maruti,20.77,1248,88.76
Kolkata,Petrol,Manual,First,5,1.35,9,40,tata,15,1368,90
Mumbai,Diesel,Manual,First,5,3.25,5,54,ford,20,1399,68.05
Mumbai,Petrol,Manual,First,5,6.4,3,15,honda,18.7,1199,88.7
Bangalore,Petrol,Manual,Second,5,3.95,7,75,volkswagen,16.47,1198,73.9
Mumbai,Petrol,Manual,Second,5,1.25,14,56,honda,17.7,1497,78
Chennai,Diesel,Manual,Third,5,1.35,16,80,ambassador,12.8,1489,35.5
Jaipur,Petrol,Manual,Second,5,0.77,20,70,maruti,17.3,993,60
Jaipur,Petrol,Manual,First,4,0.9,10,32,maruti,16.1,796,37
Chennai,Petrol,Manual,Third,5,1.1,12,40,ford,13.8,1299,70
Pune,Petrol,Manual,Second,5,2,7,78,chevrolet,18.6,1199,79.4
Ahmedabad,Diesel,Manual,First,5,6.5,7,52,toyota,21.43,1364,86.79
Mumbai,Diesel,Manual,First,5,4,3,170,hyundai,24.4,1120,71
Pune,Petrol,Manual,First,5,2.1,10,62,hyundai,20.36,1197,78.9
Mumbai,Diesel,Manual,First,5,4.65,5,12,hyundai,21.9,1396,88.8
Pune,Diesel,Manual,First,5,4.35,6,20,maruti,21.1,1248,73.9
Chennai,Diesel,Manual,First,7,6.15,3,85,mahindra,14.95,2489,93.7
Kochi,Diesel,Manual,First,5,6.24,2,34,maruti,28.4,1248,74
Chennai,Diesel,Manual,First,7,4.8,4,153,maruti,20.77,1248,88.76
Chennai,Petrol,Manual,Second,5,4.5,5,54,maruti,16.1,1197,85
Kochi,Petrol,Manual,First,5,3.87,4,16,hyundai,20.36,1197,78.9
Delhi,Petrol,Manual,First,5,2.75,6,62,hyundai,20.36,1197,78.9
Kochi,Petrol,Manual,First,5,6.57,1,23,maruti,21.4,1197,83.1
Jaipur,Petrol,Manual,First,5,2,9,52,hyundai,16.36,1495,93.7
Ahmedabad,Petrol,Manual,First,5,3.65,7,50,honda,19.4,1198,86.8
Hyderabad,Diesel,Manual,First,5,6.95,3,55,maruti,22.9,1248,74
Bangalore,Petrol,Manual,First,5,5.5,5,54,hyundai,20.14,1197,81.86
Kochi,Diesel,Manual,First,5,6.45,4,46,hyundai,21.27,1396,88.76
Hyderabad,Petrol,Manual,First,5,2.4,7,46,maruti,20.92,998,67.1
Chennai,Diesel,Manual,First,5,2.3,8,124,tata,23.03,1396,69
Ahmedabad,Petrol,Manual,First,5,5.4,2,17,hyundai,18.9,1197,82
Hyderabad,Petrol,Manual,First,7,2.95,4,90,maruti,15.1,1196,73
Bangalore,Petrol,Manual,First,5,5.1,6,37,volkswagen,16.47,1198,73.9
Jaipur,Petrol,Manual,First,5,1.5,13,65,maruti,18.9,1061,67
Pune,Petrol,Manual,First,5,1.15,14,98,honda,13,1493,100
Kolkata,Petrol,Manual,First,5,2.3,9,18,hyundai,18.5,1197,80
Kochi,Diesel,Manual,First,5,5.99,1,35,hyundai,24,1120,70
Kolkata,Petrol,Manual,First,5,1.7,10,40,hyundai,20.36,1197,78.9
Kolkata,Petrol,Manual,First,5,1.99,10,43,hyundai,17,1197,80
Pune,Petrol,Manual,First,5,2.5,7,65,chevrolet,18.6,1199,79.4
Hyderabad,Diesel,Manual,First,5,4.85,6,74,volkswagen,22.07,1199,73.9
Hyderabad,Petrol,Manual,First,5,2.65,9,51,ford,15.6,1196,70
Jaipur,Diesel,Manual,Second,5,6.9,4,66,honda,25.1,1498,98.6
Hyderabad,Diesel,Manual,First,5,3.5,6,90,ford,20,1399,68.05
Delhi,Petrol,Automatic,First,5,9.2,2,32,maruti,19.12,1373,91.1
Mumbai,Petrol,Automatic,First,5,4.9,4,29,hyundai,18.9,1197,82
Kolkata,Diesel,Manual,First,5,2.6,9,145,fiat,20.4,1248,91.7
Jaipur,Petrol,Manual,First,5,4.5,4,78,maruti,16.1,1298,88.2
Mumbai,Diesel,Manual,First,5,5.25,4,14,maruti,28.4,1248,74
Delhi,Petrol,Manual,First,5,3.67,6,63,hyundai,18.5,1197,82.9
Delhi,Petrol,Manual,First,5,3.1,7,60,toyota,17.6,1496,88.73
Ahmedabad,Diesel,Manual,First,5,2.9,4,78,tata,17,1405,70
Delhi,Diesel,Manual,First,5,3.49,5,45,hyundai,24,1120,70
Delhi,Diesel,Manual,First,5,4.25,5,57,maruti,25.2,1248,74
Chennai,Diesel,Manual,Second,5,1.9,11,121,hyundai,24,1396,88.76
Jaipur,Diesel,Manual,Second,5,2.5,6,86,fiat,19.5,1248,75
Ahmedabad,Petrol,Manual,First,5,1.2,17,85,honda,13,1343,90
Chennai,Petrol,Manual,First,5,1.6,12,100,ford,16.6,1388,68
Coimbatore,Petrol,Automatic,First,4,3.6,3,5,tata,21.9,624,37.48
Coimbatore,Petrol,Manual,First,5,6.06,0,16,maruti,20.89,1197,81.8
Coimbatore,Petrol,Manual,Second,5,5.29,6,59,maruti,17.5,1298,85.8
Jaipur,Diesel,Manual,First,5,5.75,5,60,ford,22.7,1498,89.84
Coimbatore,Petrol,Manual,First,5,5.72,5,47,maruti,19.1,1197,85.8
Kochi,Petrol,Automatic,First,5,4.39,5,61,hyundai,16.95,1197,78.9
Delhi,Diesel,Manual,Second,5,4.83,4,66,hyundai,22.54,1396,88.73
Chennai,Diesel,Manual,Second,5,4.5,7,107,hyundai,21.27,1396,88.76
Mumbai,Petrol,Manual,First,5,4.99,3,10,hyundai,19.1,1197,82
Coimbatore,Diesel,Manual,First,5,8.18,3,24,honda,26,1498,98.6
Pune,Petrol,Manual,First,5,2.9,7,79,honda,18.4,1198,86.8
Jaipur,Diesel,Manual,First,5,7.1,4,40,maruti,28.09,1248,88.5
Pune,Diesel,Manual,First,5,7.05,3,23,maruti,26.59,1248,74
Kochi,Petrol,Manual,First,5,6.93,4,44,maruti,20.73,1373,91.1
Ahmedabad,Diesel,Manual,First,7,7.9,6,60,toyota,12.99,2494,100
Coimbatore,Petrol,Manual,First,5,2.88,7,49,maruti,19.7,796,46.3
Kolkata,Petrol,Manual,First,5,2.15,3,31,maruti,24.7,796,47.3
Pune,Petrol,Manual,First,5,3.75,6,8,nissan,16.95,1498,97.7
Mumbai,Petrol,Manual,First,5,3.6,0,0,maruti,24.7,796,47.3
Kolkata,Petrol,Manual,First,5,3.6,1,2,maruti,24.07,998,67.1
Coimbatore,Petrol,Automatic,First,5,7.55,1,20,hyundai,18.9,1197,81.86
Kolkata,Diesel,Manual,First,7,4.7,4,50,honda,24.2,1498,98.6
Jaipur,Diesel,Manual,Second,5,1.6,9,100,tata,18.8,1248,90
Kochi,Petrol,Manual,First,5,6.17,0,18,hyundai,18.9,1197,81.86
Kolkata,Petrol,Manual,First,5,3,3,31,nissan,18.44,1198,75
Jaipur,Petrol,Manual,Second,5,2.85,6,62,maruti,20.51,998,67.04
Delhi,Diesel,Manual,First,5,6.75,3,46,maruti,27.39,1248,74
Coimbatore,Diesel,Manual,First,5,7.75,2,73,honda,26,1498,98.6
Kochi,Diesel,Manual,First,5,4.4,5,46,hyundai,22.54,1396,88.76
Pune,Petrol,Manual,First,5,1.69,10,120,maruti,18.9,998,67.1
Mumbai,Petrol,Manual,First,5,3.2,3,62,maruti,18.5,1197,85.8
Hyderabad,Petrol,Manual,First,5,5.1,3,60,volkswagen,16.47,1198,74
Mumbai,Petrol,Manual,Second,5,2.4,9,69,ford,15.6,1196,70
Coimbatore,Diesel,Manual,First,5,5.67,4,64,renault,20.45,1461,83.8
Bangalore,Petrol,Automatic,First,5,6.2,1,3,hyundai,18.9,1197,81.86
Pune,Diesel,Manual,First,5,3,9,71,maruti,21.1,1248,73.9
Jaipur,Petrol,Manual,Second,5,2.25,9,52,hyundai,19.81,1086,68.05
Coimbatore,Diesel,Manual,First,5,7.48,4,92,ford,22.7,1498,89.84
Coimbatore,Petrol,Manual,First,5,3.1,9,48,maruti,19.7,796,46.3
Mumbai,Petrol,Manual,First,5,2.55,8,46,volkswagen,16.47,1198,74
Jaipur,Diesel,Manual,First,5,3.5,6,62,volkswagen,22.07,1199,73.9
Kolkata,Diesel,Manual,First,5,2.59,7,35,volkswagen,22.07,1199,73.9
Kolkata,Diesel,Manual,First,7,5.45,6,70,maruti,20.77,1248,88.8
Kolkata,Diesel,Manual,First,5,6,2,30,ford,22.77,1498,98.59
Kolkata,Diesel,Manual,First,5,4.75,2,148,maruti,23.4,1248,74
Mumbai,Petrol,Manual,First,5,4,3,43,tata,17.57,1193,88.7
Pune,Diesel,Manual,First,5,2.5,7,65,tata,22.3,1248,74
Delhi,Diesel,Manual,First,5,5.5,4,76,maruti,26.59,1248,74
Kolkata,Petrol,Manual,First,5,1.59,9,39,fiat,16,1368,90
Mumbai,Petrol,Manual,First,5,6.22,2,18,hyundai,18.6,1197,81.83
Kolkata,Petrol,Manual,First,5,2.75,3,11,hyundai,21.1,814,55.2
Delhi,Petrol,Manual,First,5,2.8,5,77,maruti,23.1,998,67.04
Mumbai,Petrol,Manual,Second,5,2.45,5,54,chevrolet,17.8,1199,76.8
Pune,Petrol,Automatic,First,5,6.35,3,21,honda,19,1199,88.7
Kochi,Diesel,Manual,First,5,3.15,3,83,chevrolet,25.44,936,56.3
Coimbatore,Petrol,Manual,First,5,6.48,2,25,ford,18.16,1196,86.8
Jaipur,Petrol,Manual,First,4,0.75,12,59,maruti,16.1,796,37
Kolkata,Diesel,Manual,First,5,5,5,36,honda,26,1498,98.6
Chennai,Diesel,Manual,First,5,2.6,9,90,ford,20,1399,68
Mumbai,Petrol,Manual,First,5,5.05,4,42,hyundai,18.6,1197,81.83
Hyderabad,Diesel,Manual,First,7,9.6,7,131,toyota,12.99,2494,100
Mumbai,Diesel,Manual,First,5,5.5,6,74,renault,20.46,1461,83.8
Hyderabad,Petrol,Manual,First,5,3.5,3,10,maruti,24.07,998,67.1
Kochi,Petrol,Manual,First,5,4.26,3,49,nissan,19.49,1198,67.04
Chennai,Petrol,Automatic,Second,5,4.25,3,12,maruti,23.1,998,67.04
Chennai,Diesel,Manual,First,5,3.5,6,177,ford,23.5,1498,88.7
Chennai,Petrol,Automatic,Third,5,3.25,10,72,hyundai,15,1396,100
Chennai,Petrol,Manual,First,5,4.9,7,49,maruti,17.5,1298,85.8
Kochi,Petrol,Manual,First,5,8.91,2,13,hyundai,18.6,1197,81.86
Pune,Petrol,Manual,First,5,2,8,70,maruti,19,998,66.1
Kolkata,Diesel,Manual,First,5,2.4,7,32,nissan,23.08,1461,63.1
Pune,Petrol,Manual,First,4,1.2,6,4,tata,25.4,624,37.48
Delhi,Diesel,Manual,First,5,2.9,5,71,maruti,23.4,1248,74
Chennai,Diesel,Manual,First,5,7.5,3,15,honda,25.8,1498,98.6
